subject,sentence,context,sentence_length,maxF0,minF0,F1,F2,F3,keyword,last_word_len
subj22_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3276.908,254.5659989,104.4940026,919.7620644,1071.57097,2752.203962,eyeliner,1016.741
subj22_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2858.364,222.1119346,57.80384838,360.6258251,1981.371499,3078.559391,musical,848.73
subj22_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2845.034,222.1221583,111.731059,423.7880249,1899.852918,2638.771361,musical,845.498
subj22_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2671.097,217.7618407,106.5381772,925.8884232,1919.337536,3131.418234,wool,1179.501
subj22_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2671.097,242.5500537,103.159397,575.9592585,1722.887829,3250.19228,wool,1089.005
subj22_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2625.653,217.663239,106.4077301,850.7821096,1903.756168,3068.222109,alumnus,595.302
subj22_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2958.909,234.8873804,114.6793167,819.8882719,2228.370302,3478.072004,alumnus,610.969
subj22_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2616.043,238.1838382,106.949559,548.5059432,1399.415525,2529.855497,magnolia,818.481
subj22_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2686.245,392.8351593,65.60313959,476.4148789,1514.773115,2431.209075,magnolia,814.852
subj24_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2631.748,280.1604086,204.5193442,582.9117703,1702.091761,3236.656101,magnolia,808.962
subj24_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2421.18,287.588116,66.08587188,1155.81844,1671.886865,3221.479581,magnolia,833.479
subj24_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2097.509,318.2310725,74.82545442,363.5955669,1910.855986,2779.646833,alumnus,604.356
subj24_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2174.79,305.9032561,239.4888061,501.059846,1869.318112,2790.563713,alumnus,652.164
subj24_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,1962.322,320.3970351,196.3473788,488.6651984,1588.954998,2824.180229,wool,1082.929
subj24_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,1991.857,365.0331959,198.7432464,695.1184159,1659.554568,3074.724874,wool,1020.433
subj24_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2383.462,289.3062758,202.3476626,458.0642182,2163.445512,2740.251279,musical,844.463
subj24_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2491.322,355.3686079,225.9759466,448.6842727,2293.568517,3179.9678,musical,960.51
subj24_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,2998.381,288.8101959,183.4061937,681.6837671,2115.680458,3061.191764,eyeliner,946.381
subj24_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,2731.771,339.3721952,194.1318168,751.634441,1739.946156,2996.314828,eyeliner,941.731
subj25_shorten_mono,all-Genmother-Topeyeliner-accallowNegpast,all > not,4354.916,264.1433278,88.83078827,923.0718446,2014.059568,3218.404691,eyeliner,1052.413
subj25_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3199.144,253.549162,86.41497287,552.2958896,1937.887764,2699.373807,eyeliner,952.748
subj25_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,3067.194,183.967416,101.3844356,1331.198219,1977.197032,3252.299814,musical,904.025
subj25_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2941.077,176.551794,91.74542956,630.7267728,1499.537067,2622.905977,musical,1136.183
subj25_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2785.355,254.3362201,87.24043506,541.8858137,1095.159546,2842.92567,wool,1471.947
subj25_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2586.319,237.9744296,96.80557343,732.5815241,1931.709239,2962.508039,wool,1184.287
subj25_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,3051.688,174.9793231,58.00340614,486.4651921,1288.126236,2949.643158,alumnus,681.935
subj25_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2531.622,164.4502924,97.24051741,650.9908817,1213.172523,3087.115121,alumnus,609.85
subj25_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2859.035,178.4994664,42.94903796,606.3928152,1147.516251,2711.286028,magnolia,944.384
